Ukrainian,English
їжа, Food
вода, Water
аптечка, First aid kit
ліки, Medicine
таблетки, Pills
тампони/прокладки, Tampons/Pads
підгузки, Diapers
лікар, Doctor
документи, Documents
паспорт, Passport
інтернет, Internet
укриття, Shelter
одяг, Clothes
ліжко, Bed
подушка, Pillow
ковдра, Blanket
душ, Shower
мило, Soap
зубна щітка, Toothbrush
туалет, Toilet
телефон, Phone
гроші, Money
сім’я, Family
мати, Mother
батько, Father
діти, Kids
син, Son
дочка, Daughter
сестра, Sister
брат, Brother
двоюрідний брат / двоюрідна сестра, Cousin (man/woman)
дід і баба, Grandparents
немовля,Baby
Бережи себе, Take care
Залишайся сильним (fem. сильною), Stay strong
дякую, Thank you
немає за що, My pleasure
поїзд, Train
автобус, Bus
машина, Car
квиток, Ticket
багаж, Luggage
дорога, Road
швидкісна дорога, Highway
вибачте, Excuse Me
ранок, Morning
місто, City
країна, Country
хлопець, Boy
дитина, Child
сорочка, Shirt
сум, Sadness
квітка, Flower
кохання, Love
